Person,Chapters,Subject,birth_year,death_year,birth_place,nationality,primary_field,bio_one_sentence,nobel_prize_year,nobel_prize_category
J.R.R. Tolkien,01,Quote (All that is gold does not glitter),1892,1973,"Bloemfontein, Orange Free State",British,Philology and Literature,"English writer and philologist who authored \emph{The Hobbit} and \emph{The Lord of the Rings}, establishing modern fantasy literature.",,
Jack Donaghy,14,Quote (Fictional character from 30 Rock),Fictional,Fictional,"Boston, Massachusetts (Fictional)",American (Fictional),FICTIONAL CHARACTER (Fictional Character / Television),"Conservative Vice President of East Coast Television portrayed by Alec Baldwin in \emph{30 Rock}, known for his Six Sigma management style and mentorship of Liz Lemon.",,
Jacob Bekenstein,,Black hole entropy | Proposed black hole entropy,1947,2015,"Mexico City, Mexico",Israeli-American,Theoretical Physics,Israeli-American theoretical physicist who proposed that black holes possess entropy proportional to their event horizon area.,,
Jacobus van ’t Hoff,31,Derived van ’t Hoff law for osmotic pressure,1852,1911,"Rotterdam, Netherlands",Dutch,Physical Chemistry,Dutch physical chemist who received the inaugural Nobel Prize in Chemistry for discovering the laws of chemical dynamics and osmotic pressure.,1901,Chemistry
Jacques Charles,28,Gas laws,1746,1823,"Beaugency, France",French,Physics and Aeronautics,French inventor and scientist who piloted the first hydrogen balloon and formulated the gas principle known as Charles's Law.,,
Jakob Grimm,05,Formulated Grimm’s Law for Germanic sound shifts,1785,1863,"Hanau, Hesse-Kassel (modern Germany)",German,Philology and Linguistics,"German philologist and mythologist who formulated Grimm's Law and co-edited \emph{Kinder- und Hausm\""archen} with his brother Wilhelm.",,
James Clerk Maxwell,45 | 28 | 13 | 04,Unified electricity and magnetism | Maxwell’s equations | Developed kinetic theory of gases | Developed kinetic theory foundational for temperature | Formulated Maxwell’s demon thought experiment | Maxwell's equations / Displacement current | Electromagnetic wave theory | Statistical mechanics | Contributed to electromagnetic theory underlying radiation,1831,1879,"Edinburgh, Scotland",Scottish,Theoretical Physics,"Scottish mathematical physicist who formulated the classical theory of electromagnetic radiation, unifying electricity, magnetism, and light.",,
James Lloyd,25,Catalogued flash patterns | discovered Photuris mimicry | Flash patterns and mimicry,1933,living,United States,American,Entomology / Behavioral Ecology,American entomologist who discovered that female \emph{Photuris} fireflies use bioluminescent aggressive mimicry to lure and devour males.,,
James Maynard,08,Improved bounded gaps via new sieve weights | Refined prime gap bound,1987,living,"Chelmsford, United Kingdom",British,Mathematics (Analytic Number Theory),British mathematician who won the 2022 Fields Medal for proving the Duffin-Schaeffer conjecture and refining bounds on prime gaps.,,
James Newman,17,Mathematics and the Imagination,1907,1966,"New York City, USA",American,Science Writing / Law,American lawyer and editor who assisted in drafting the Atomic Energy Act of 1946 and compiled \emph{The World of Mathematics}.,,
James Thomson,42,Developed pressure-melting framework | Pressure melting,1822,1892,"Belfast, Ireland",British,Physics and Civil Engineering,British physicist and engineer who theoretically predicted that the freezing point of water decreases with increasing pressure.,,
James Watson,40,Advocated and shaped Human Genome Project,1928,living,"Chicago, Illinois, USA",American,Molecular Biology,American molecular biologist who co-discovered the double helix structure of DNA with Francis Crick in 1953.,1962,Medicine
Jan Baptist van Helmont,35,Showed tree mass does not come from soil | Willow tree experiment | Willow tree experiment on mass origin,1579,1644,"Brussels, Spanish Netherlands (now Belgium)",Flemish,Chemistry / Physiology,"Flemish physician and chemist who founded pneumatic chemistry, identified carbon dioxide, and coined the term ``gas.''",,
Jan Ingenhousz,35,Showed photosynthesis requires light and green tissue | Light requirement for photosynthesis | Showed light is essential for photosynthesis,1730,1799,"Breda, Dutch Republic",Dutch,Physiology and Botany,Dutch physiologist who discovered the mechanism of photosynthesis in 1779 by showing that light enables green plant parts to release oxygen.,,
Javier P. Muniain,04,Cofounder of differential-forms approach to gauge fields,unknown,unknown,unknown,unknown,Mathematical Physics,"Mathematical physicist who co-authored the textbook \emph{Gauge Fields, Knots and Gravity} with John Baez in 1994.",,
Jean-Antoine Nollet,31,Early observer of osmotic flow through membranes | Early osmosis observation | Early observer of osmosis,1700,1770,"Pimprez, France",French,Physics / Natural Philosophy,French clergyman and physicist who was the first to document the phenomenon of osmosis using pig bladders in 1748.,,
Jean-Baptiste Biot,13,Biot-Savart Law; optical polarization studies,1774,1862,"Paris, France",French,Physics and Astronomy,"French physicist who formulated the Biot-Savart Law with F\'elix Savart, establishing the fundamental relationship between electric current and magnetism.",,
Jean-Baptiste Colbert,,Minister controlling royal finances and secrecy (contextual),1619,1683,"Reims, France",French,Politics and Economics,French statesman who served as Controller-General of Finances and systematized the economic policies of mercantilism under King Louis XIV.,,
Jean-Pierre Desclaux,01,Performed relativistic atomic structure calculations | Relativistic effects in gold and mercury,1938,living,France,French,Theoretical Atomic Physics,French physicist who developed computational codes proving that relativistic effects determine the yellow color of gold and liquidity of mercury.,,
Jean-Victor Poncelet,07,Introduced Poncelet's porism and projective geometry | Poncelet's Porism / Projective geometry,1788,1867,"Metz, France",French,Mathematics and Engineering,French mathematician and engineer who founded modern projective geometry through his seminal work \emph{Trait\'e des propri\'et\'es projectives des figures}.,,
"Jens ""Jeb"" Bergensten",22,Took over lead development of Minecraft,1979,living,"Örebro, Sweden",Swedish,Video Game Design and Programming,Swedish video game programmer who became the lead designer of \emph{Minecraft} in 2011 and serves as Mojang's Chief Creative Officer.,,
Jeremiah Ostriker,37,Argued for dark matter in structure formation | Dark matter structure formation | Theoretical stability of galactic disks (dark halo),1937,living,"New York City, New York, USA",American,Astrophysics,"American astrophysicist who co-formulated the Ostriker-Peebles criterion, providing theoretical evidence that spiral galaxies require dark matter halos for stability.",,
Jerry Bona,07,Joke about Axiom of Choice/Zorn's Lemma,1945,living,"Little Rock, Arkansas, USA",American,"Mathematics (Fluid Mechanics, Partial Differential Equations)","American mathematician who co-developed the Benjamin-Bona-Mahony equation, a model for long surface gravity waves of small amplitude.",,
Jerry Fodor,20,Proposed Language of Thought hypothesis | Language of Thought,1935,2017,"New York City, USA",American,Philosophy of Mind / Cognitive Science,American philosopher and cognitive scientist who developed the Language of Thought hypothesis and the theory of the Modularity of Mind.,,
Jim Peebles,37,Developed dark matter cosmology | Dark matter structure formation | Cosmology and dark matter structure,1935,living,"Winnipeg, Canada",Canadian-American,Theoretical Cosmology,Canadian-American cosmologist who established the theoretical framework of physical cosmology and received the 2019 Nobel Prize.,,
Joan Taylor,29,Aperiodic monotile (disconnected) | Discovered Socolar-Taylor aperiodic tile,unknown,living,"Burnie, Tasmania, Australia",Australian,Mathematics (Discrete Geometry),"Australian independent mathematician who co-discovered the Socolar-Taylor tile, a hexagonal structure that stood as the leading approximation of an aperiodic monotile.",,
Joanna Newsom,16,Quote (song lyrics),1982,living,"Nevada City, California, USA",American,Musician (Harpist/Singer-Songwriter),American harpist and composer who creates polyrhythmic arrangements and dense lyrics on albums like \emph{Ys} and \emph{Have One on Me}.,,
Johann Radon,41,Introduced Radon transform for integral projections | Radon transform | Radon transform (tomography),1887,1956,"Tetschen, Bohemia (now Děčín, Czech Republic)",Austrian,Mathematics,"Austrian mathematician who developed the Radon transform, providing the theoretical basis for medical computed tomography.",,
Johannes Kepler,29,Studied dense circle packings and tilings | Hexagonal packing / Tiling | Studied tiling and packing problems,1571,1630,"Weil der Stadt, Holy Roman Empire",German,Astronomy / Mathematics,"German astronomer and mathematician who established the three laws of planetary motion, foundational to Newton's theory of universal gravitation.",,
John Archibald Wheeler,23 | 06 | 14,"Explored exotic spacetime topologies in GR | Popularized term “black hole” and studied their physics | Exotic topologies | Popularized term ""Black Hole"" | Quote on spacetime and matter",1911,2008,"Jacksonville, Florida, USA",American,Theoretical Physics,American theoretical physicist who revitalized general relativity and popularized terms such as ``black hole'' and ``wormhole.'',,
John Buck,25,Studied synchronous flashing and firefly behavior | Synchronous flashing,1912,2005,"Warren, Pennsylvania, USA",American,Physiology / Entomology,American physiologist and entomologist who identified the mechanisms governing the synchronous flashing of Southeast Asian \emph{Pteroptyx} fireflies.,,
John C. Baez,04,Exposition of gauge fields and gravity via differential forms,1961,living,"San Francisco, California, USA",American,Mathematical Physics,American mathematical physicist who researches loop quantum gravity and authored the column ``This Week's Finds in Mathematical Physics.'',,
John Dash,42,Analyzed quasi-liquid layers on ice surfaces,1923,2010,"New York City, USA",American,Condensed Matter Physics,"American experimental physicist who provided the physical basis for the ``quasi-liquid layer'' on ice surfaces, explaining ice friction and glacier motion.",,
John Desmond Bernal,01,Quote (All that glitters may not be gold),1901,1971,"Nenagh, Ireland",Irish,X-ray Crystallography,"Irish crystallographer who pioneered the structural analysis of proteins and viruses, laying the foundations of molecular biology.",,
John Edensor Littlewood,15,Popularized related paradox attributed to Schrödinger | Two-sided card paradox,1885,1977,"Rochester, United Kingdom",British,Mathematics (Number Theory and Analysis),British mathematician who collaborated with G.H. Hardy for thirty-five years to advance number theory and mathematical analysis.,,
John Henry Poynting,04,Introduced the Poynting vector for energy flow | Poynting vector (energy flow),1852,1914,"Monton, Lancashire, England",British,Physics,"British physicist who formulated the Poynting vector in 1884, describing the magnitude and direction of electromagnetic energy flow.",,
John Herapath,28,Kinetic theory precursor,1790,1868,"Bristol, England",British,Physics / Mathematics / Journalism,English physicist and mathematician who formulated an early kinetic theory of gases proposing pressure arises from particle collisions.,,
John Joly,42,Applied pressure-melting to ice skating,1857,1933,"Bracknagh, County Offaly, Ireland",Irish,Physics and Geology,Irish physicist and geologist who invented the steam calorimeter and estimated the Earth's age based on sodium accumulation.,,
John McCarthy,20,Founded symbolic AI and formal logic in AI | Symbolic AI,1927,2011,"Boston, Massachusetts, USA",American,Computer Science / Artificial Intelligence,"American computer scientist who coined the term ``artificial intelligence'' and invented LISP, the standard programming language for AI.",,
John Napier,21,Introduced logarithms to simplify arithmetic | Early logarithms underpin timing analysis (contextual) | Logarithms | Invented logarithms,1550,1617,"Edinburgh, Scotland",Scottish,Mathematics and Theology,Scottish mathematician who invented logarithms to significantly simplify calculation and popularized the use of the decimal point.,,
John Peacock,06,GR lecturer referenced for time-dilation notes,1956,living,"Shaftesbury, Dorset, United Kingdom",British,Cosmology and Astrophysics,British cosmologist who directed the 2dF Galaxy Redshift Survey to investigate the large-scale structure of the universe.,,
John Searle,20,Formulated Chinese Room argument against strong AI | Chinese Room Argument,1932,living,"Denver, Colorado, USA",American,Philosophy (Mind and Language),American philosopher who formulated the ``Chinese Room'' thought experiment to challenge claims of strong artificial intelligence.,,
John Tyndall,27,Studied atmospheric scattering and Tyndall effect | Atmospheric scattering experiments | Explained blue sky via scattering,1820,1893,"Leighlinbridge, County Carlow, Ireland",Irish,Physics,Irish physicist who discovered the Tyndall effect and proved water vapor and carbon dioxide absorb heat.,,
John von Neumann,41|03,Construction of natural numbers in set theory | Quote on fitting an elephant,1903,1957,"Budapest, Austria-Hungary (now Hungary)",Hungarian-American,Mathematics,Hungarian-American polymath who pioneered modern computer design and co-authored the foundational text \emph{Theory of Games and Economic Behavior}.,,
John Waterston,28,Kinetic theory precursor,1811,1883,"Edinburgh, Scotland",Scottish,Physics and Civil Engineering,"Scottish physicist and civil engineer who independently developed the kinetic theory of gases in 1845, in a paper rejected as ``nonsense.''",,
John Wettlaufer,42,Coauthored QLL and surface physics reviews,unknown,living,unknown,American,Geophysics and Applied Mathematics,American physicist and geophysicist who integrates theory and experiment to investigate soft condensed matter and the physics of ice.,,
John Zhang,49,Led first reported live birth via spindle transfer MRT,unknown,living,China,American,Reproductive Endocrinology and Infertility,American fertility specialist who oversaw the birth of the world's first baby conceived via spindle nuclear transfer in 2016.,,
Jonathan Rothberg,,Founded 454 Life Sciences | pyrosequencing,1963,living,"New Haven, Connecticut, USA",American,Biotechnology / Chemical Engineering,American chemical engineer who pioneered massively parallel DNA sequencing and created the first handheld semiconductor-based ultrasound.,,
Joni Mitchell,,Quote on osmosis,1943,living,"Fort Macleod, Alberta, Canada",Canadian,Music (Singer-Songwriter) and Visual Art,Canadian singer-songwriter and painter who blended folk and jazz on the albums \emph{Blue} and \emph{Court and Spark}.,,
Jonathon Howard,41,Co-authored elephant curve paper with Mayer and Khairy,unknown,living,Australia,Australian-American,Molecular Biophysics,Australian-American biophysicist and Eugene Higgins Professor at Yale who studies motor proteins and the cytoskeleton.,,
Josef Sewald,38,Quote on Christmas Truce,unknown,unknown,"Bavaria, Germany",German,Military Service / Education,German soldier who documented the spontaneous Christmas Truce of 1914 in letters serving as a definitive primary source.,,
Joseph A. Berry,35,Coauthor of photosynthetic CO2 assimilation model,1941,living,unknown,American,Plant Physiology and Global Ecology,"American plant physiologist who co-developed the FvCB model, a biochemical framework describing photosynthetic carbon dioxide assimilation.",,
Joseph Bertrand,15,Bertrand's Chord Paradox,1822,1900,"Paris, France",French,Mathematics,"French mathematician who formulated Bertrand's Paradox, conjectured Bertrand's Postulate, and developed the Bertrand competition model in economics.",,
Joseph Fourier,13,Grand Prix winner,1768,1830,"Auxerre, France",French,Mathematics and Physics,French mathematician who developed the Fourier series and established heat propagation laws in \emph{Th\'eorie analytique de la chaleur}.,,
Joseph Louis Gay-Lussac,28,Gas laws,1778,1850,"Saint-Léonard-de-Noblat, France",French,Chemistry and Physics,French chemist and physicist who formulated the Law of Combining Volumes and the pressure-temperature relationship of gases.,,
Joseph Myers,29,Co-analyzed hat monotile tiling properties | Hat monotile proof | Co-proved aperiodicity of hat tile,1978,living,United Kingdom,British,Computer Science / Mathematics,"British mathematician and software developer who co-discovered the ``hat'' monotile, the first known single shape to tile the plane aperiodically.",,
Joseph Priestley,35,Discovered plants restore “damaged” air | Plants restoring air | Discovered oxygen/photosynthesis relation,1733,1804,"Birstall, West Yorkshire, England",British,Natural Philosophy and Theology,"English natural philosopher who independently discovered oxygen, which he termed ``dephlogisticated air'', and invented carbonated water.",,
Joseph von Fraunhofer,27,Solar absorption lines | Mapped solar spectrum lines,1787,1826,"Straubing, Electorate of Bavaria",Bavarian,Optics and Physics,Bavarian optician and physicist who invented the diffraction grating and systematically mapped the dark absorption lines in the solar spectrum.,,
Joseph-Louis Lagrange,13,Influential Newtonian-era mathematician at Académie | Mentioned as part of old guard,1736,1813,"Turin, Piedmont-Sardinia (now Italy)",Italian-born / French,Mathematics and Astronomy,Italian-French mathematician who transformed classical mechanics by grounding it in analytical principles in his treatise \emph{M\'ecanique analytique}.,,
Joshua,26,Successor to Moses in chain of transmission | Tradition chain,c. 14th–13th century BCE,c. 13th–12th century BCE,Ancient Egypt (per biblical narrative),Israelite,Religious and Military Leadership,Israelite leader who succeeded Moses and led the conquest of Canaan as the central figure of the \emph{Book of Joshua}.,,
Joshua ben Perachya,26,One of the Zugot | Nasi,c. 2nd century BCE,c. 1st century BCE,Judea,Judean,Religious Law (Halakha),Jewish sage and \emph{Nasi} of the Sanhedrin who famously taught to judge every person favorably in \emph{Pirkei Avot}.,,
Judah ben Tabbai,26,One of the Zugot | early judicial leader,unknown,unknown,Judea,Judean,Jewish Law and Religious Leadership,Jewish scholar of the Second Temple period who served as one of the \emph{Zugot} and established foundational judicial ethics.,,
Judith Resnik,26,Astronaut Shabbat observance,1949,1986,"Akron, Ohio, USA",American,Astronautics / Electrical Engineering,American electrical engineer and astronaut who was the second American woman in space and died in the 1986 \emph{Challenger} disaster.,,
Julian Schwinger,47,Schwinger effect | Schwinger effect (pair production in E-field),1918,1994,"New York City, USA",American,Theoretical Physics,American physicist who shared the 1965 Nobel Prize in Physics for developing renormalization in quantum electrodynamics.,1965,Physics
Julius von Sachs,35,Linked photosynthesis to starch and CO2 | Starch production in light | Studied photosynthesis and chloroplasts,1832,1897,"Breslau, Prussia (now Wrocław, Poland)",German,Botany (Plant Physiology),German botanist who founded modern experimental plant physiology and identified starch as the product of photosynthesis.,,
János Pintz,08,Co-developed GPY method for small prime gaps | GPY Sieve method,1950,living,"Budapest, Hungary",Hungarian,Mathematics (Analytic Number Theory),"Hungarian mathematician who co-developed the GPY sieve method, demonstrating that prime gaps are arbitrarily smaller than average.",,
Jörn Dunkel,28,Argued for Gibbs entropy and against negative temperatures | Negative temperature controversy (Gibbs vs Boltzmann) | Debated thermodynamic consistency of negative T,unknown,living,"Berlin, Germany",German,Physical Mathematics / Statistical Physics,German mathematician who argued that negative absolute temperatures are artifacts of the Boltzmann entropy definition.,,
Jürgen Moser,48,KAM theorem | KAM theorem founder,1928,1999,"Königsberg, Germany",German-American,Mathematics,German-American mathematician who completed the Kolmogorov-Arnold-Moser theorem regarding the stability of quasi-periodic motions in Hamiltonian systems.,,
Jürgen Mayer,41,Co-authored elephant curve paper demonstrating von Neumann conjecture,unknown,living,unknown,German,Biophysics,German biophysicist at the Max Planck Institute who co-authored the paper demonstrating von Neumann's elephant conjecture using four complex Fourier parameters.,,
Kaiser Wilhelm II,,German emperor during WWI outset,1859,1941,"Berlin, Prussia (now Germany)",German,Monarchy / Politics,Last German Emperor who dismissed Bismarck and pursued aggressive policies that contributed to the outbreak of World War I.,,
Karl Pearson,30,Early statistician noting aggregation effects | Statistical correlation | Founder of modern statistics,1857,1936,"London, England",British,Statistics and Mathematics,English mathematician who established the discipline of mathematical statistics and developed the Pearson product-moment correlation coefficient.,,
Karl Schwarzschild,23,Found first exact black-hole solution to Einstein equations | Schwarzschild metric | Derived first exact black hole solution,1873,1916,"Frankfurt am Main, Germany",German,Astrophysics / Physics,"German physicist and astronomer who derived the Schwarzschild metric, the first exact solution to Einstein's field equations.",,
Karl Weierstrass,03,Removed geometric intuition from calculus | rigor in analysis,1815,1897,"Ostenfelde, Westphalia (now Germany)",German,Mathematics,German mathematician cited as the ``father of modern analysis'' for establishing the strict epsilon-delta definition of limits.,,
Khaled Khairy,41,Co-authored elephant curve paper with Mayer and Howard,unknown,living,unknown,American,Biophysics / Bioimage Informatics,Biophysicist and Director of the Center for Bioimage Informatics at St. Jude Children's Research Hospital who co-authored the Fourier-parameterised elephant curve.,,
Kary Mullis,40,Quote on PCR/LSD | Invented PCR,1944,2019,"Lenoir, North Carolina, USA",American,Biochemistry,"American biochemist who invented the Polymerase Chain Reaction technique in 1983, enabling rapid amplification of specific DNA sequences.",1993,Chemistry
Kenichi Fukui,46,Introduced frontier orbital theory for reactivity | Frontier Molecular Orbitals | Pioneered frontier molecular orbital theory,1918,1998,"Nara, Japan",Japanese,Theoretical Chemistry,Japanese theoretical chemist who became the first Asian Nobel laureate in Chemistry for developing the Frontier Molecular Orbital theory.,1981,Chemistry
Kenneth Arrow,09,Formulated Arrow’s impossibility theorem | Arrow's Impossibility Theorem,1921,2017,"New York City, USA",American,Economics,American economist who formulated Arrow's Impossibility Theorem and shared the 1972 Nobel Prize for general equilibrium theory.,1972,Economics
Kenneth Parcell,06,Quote (Fictional character from 30 Rock),N/A (Fictional),N/A (Fictional),"Stone Mountain, Georgia (Fictional backstory)",American (Fictional),Fictional Character,"Optimistically naive NBC page from \emph{30 Rock} with ambiguous age and hints of immortality, revealed in the finale to be the ageless president of NBC.",,
Kenneth S. Pitzer,01,Linked mercury’s low melting point to relativistic effects | Relativistic effects in mercury's melting point,1914,1997,"Pomona, California, USA",American,Physical Chemistry,American physical chemist who demonstrated that relativistic effects explain mercury's unique low melting point and liquid state.,,
Kent Ford,37,Co-measured spiral galaxy rotation curves | Galaxy rotation curves | Collaborator on galaxy rotation curves,1931,living,"Clifton Forge, Virginia, USA",American,Astronomy and Instrumentation,American astronomer who developed image tube spectrographs establishing the first robust observational evidence for dark matter.,,
Klaus von Klitzing,11,Discovered the integer quantum Hall effect | Discovery of Quantum Hall Effect,1943,living,"Schroda, German-occupied Poland (now Środa Wielkopolska, Poland)",German,Physics,German physicist who discovered the integer quantum Hall effect and established the standard for electrical resistance $R_K$.,1985,Physics
Kurt Gödel,14|03,Showed consistency of the Axiom of Choice with ZF | Discovered rotating GR solutions with closed timelike curves | Consistency of ZFC | Rotating universe / CTCs,1906,1978,"Brno, Austria-Hungary (now Czech Republic)",Austrian-American,Mathematical Logic,"Austrian-American logician and mathematician who proved the Incompleteness Theorems, establishing that consistent arithmetic systems must contain undecidable propositions.",,
Kurt Schütte,17,Feferman-Schütte ordinal,1909,1998,"Buchhorn (now part of Ebermannstadt), Germany",German,Mathematical Logic / Proof Theory,"German mathematician focused on proof theory who independently identified the Feferman-Sch\""utte ordinal $\Gamma_0$, characterizing the limits of predicative arithmetic.",,
Lars Vegard,31,Proposed solute–membrane collision model for osmosis | Vegard pressure drop | Proposed pressure drop mechanism for osmosis,1880,1963,"Vegårshei, Norway",Norwegian,Physics (Crystallography and Cosmic Physics),Norwegian physicist who established ``Vegard's Law'' for solid solutions and identified nitrogen and oxygen in the aurora borealis.,,
Laurens Molenkamp,11,Led first experimental realization of 2D topological insulator in HgTe/CdTe | Experimental observation in HgTe/CdTe wells,1956,living,"Garrelsweer, Netherlands",Dutch,Condensed Matter Physics,"Dutch physicist who led the first experimental observation of the quantum spin Hall effect, confirming two-dimensional topological insulators.",,
Lennart Norrby,01,Explained why relativity is essential for mercury and gold chemistry | Noted lack of relativistic chemistry in textbooks,unknown,unknown,Sweden,Swedish,Chemical Education / Physical Chemistry,Swedish chemist who demonstrated how relativistic effects cause the liquid state of mercury and the distinct color of gold.,,
Leo Szilard,45,Proposed single-particle engine linking information and entropy | Szilard engine / Measurement cost | Linked information to entropy (demon),1898,1964,"Budapest, Austria-Hungary",Hungarian-American,Physics / Molecular Biology,Hungarian-American physicist who conceived the nuclear chain reaction and initiated the Manhattan Project via the Einstein-Szil\'ard letter.,,
Leon Brillouin,45,Information and entropy | Information theory and thermodynamics | Information and entropy,1889,1969,"Sèvres, France",French-American,Theoretical Physics,"French physicist who established the concept of Brillouin zones and co-developed the WKB approximation for the Schr\""odinger equation.",,
Leonard Susskind,34,Coauthored “Disturbing Implications of a Cosmological Constant” | Boltzmann Brains in de Sitter space | Discussed Boltzmann brains and landscape,1940,living,"New York City, New York, USA",American,Theoretical Physics,American theoretical physicist who is a founding father of string theory and formulated the holographic principle to address the black hole information paradox.,,
Leonardo da Vinci,45,Quote on perpetual motion,1452,1519,"Vinci, Republic of Florence",Florentine,"Polymath (Art, Science, and Engineering)",Italian Renaissance polymath who painted the \emph{Mona Lisa} and \emph{The Last Supper} while studying anatomy and mechanics.,,
Leonhard Euler,08 | 21,Connected primes to analytic functions | sum of reciprocal primes | Formalized exponential function and solved f'=f with f(0)=1 | Sum of reciprocals of primes | Exponential function definition,1707,1783,"Basel, Switzerland",Swiss,Mathematics and Physics,"Swiss mathematician who founded modern mathematical analysis and standardized notations such as $e$, $i$, and $\pi$.",,
Leopold Eliezer Zvi Flatto,07,Modern exposition of Poncelet's theorem and billiard dynamics | Book reference on Poncelet,unknown,living,unknown,American,"Mathematics (Geometry, Analysis, Queueing Theory)",American mathematician who authored the definitive monograph \emph{Poncelet's Theorem} exploring connections to elliptic curves and billiard dynamics.,,
Leslie Lamport,,Discussed large numbers in theoretical CS context,1941,living,"New York City, USA",American,Computer Science (Distributed Systems),American computer scientist who pioneered the theory of distributed systems and created the \LaTeX{} document preparation system.,,
Liang Fu,11,Predicted 3D topological insulators (Bi1−xSbx and related materials) | Predicted 3D topological insulators,unknown,living,China,Chinese,Condensed Matter Physics,"Chinese-American theoretical physicist who predicted three-dimensional topological insulators, identifying Bi$_{1-x}$Sb$_x$ alloys as the first material to exhibit this state.",,
Lincoln Taiz,35,Coauthor of standard Plant Physiology text,unknown,living,United States,American,Plant Physiology / Botany,American plant biologist who characterized the vacuolar H$^+$-ATPase and co-authored the foundational textbook \emph{Plant Physiology and Development}.,,
Lisa Dyson,34,Analyzed de Sitter fluctuations and Boltzmann brains | Boltzmann Brains in de Sitter space | Discussed Boltzmann brains in de Sitter space,unknown,living,United States,American,Theoretical Physics / Biotechnology,American physicist and entrepreneur who founded Kiverdi and Air Protein to produce sustainable goods using carbon-transformation technology.,,
Logen Ninefingers,22,Quote (Fictional character from First Law),N/A (Fictional),N/A (Fictional),The North (Fictional setting),Fictional character,FICTIONAL CHARACTER (Fantasy Literature),"Exiled barbarian warrior from Joe Abercrombie's \emph{The First Law} trilogy known as ``The Bloody-Nine'', struggling with a violent berserker alter-ego in the grimdark fantasy series.",,
Lord Kelvin (William Thomson),45 | 10 | 28 | 42 | 32,Gravitational contraction of Sun | Formulated second law | forbade PMM2 | Absolute temperature scale | Defined absolute temperature scale | Established absolute thermodynamic temperature scale | Quantified melting point depression under pressure,1824,1907,"Belfast, Ireland (now Northern Ireland)",British,Mathematical Physics and Engineering,British mathematical physicist and engineer who proposed the absolute temperature scale and formulated the laws of thermodynamics.,,
Lord Rayleigh,27,Explained blue sky via Rayleigh scattering | Rayleigh scattering theory | Formalized theory of molecular scattering,1842,1919,"Maldon, Essex, England",British,Physics,British physicist who discovered argon and formulated the theory of Rayleigh scattering explaining the blue color of the sky.,1904,Physics
Lorenzo Sorbo,34,"Coauthored work on Boltzmann Brain problem | Coined ""Boltzmann Brain"" | Cosmologist working on inflation probability",unknown,living,Italy,Italian,Theoretical Cosmology,Theoretical physicist who collaborated with Andreas Albrecht in 2004 to revitalize the discussion of the Boltzmann Brain paradox.,,
Louis Essen,32,Built first practical cesium atomic clock (1955),1908,1997,"Nottingham, England",British,Physics / Metrology,"British physicist who developed the first practical cesium atomic clock in 1955, enabling the redefinition of the second.",,
Louis XIV,44,Sun King whose regime used secret imprisonments | Reign during Iron Mask affair | King of France during Iron Mask affair,1638,1715,"Saint-Germain-en-Laye, France",French,Monarchy / Statecraft,"French king who established a centralized absolute monarchy and reigned for 72 years, the longest in European history.",,
Louvois (François-Michel le Tellier),44,Minister of War corresponding about prisoner,1641,1691,"Paris, France",French,Statesman / Secretary of State for War,French Secretary of State for War who reorganized the army and founded the H\^otel des Invalides under King Louis XIV.,,
Lucas J. van Vliet,41,Coauthored Radon–Hough survey,1966,living,"Rotterdam, Netherlands",Dutch,Quantitative Imaging / Applied Physics,Dutch Professor of Quantitative Imaging who developed recursive Gaussian derivative filters and structure tensors for image analysis.,,
Ludwig Boltzmann,45 | 32 | 28 | 34,"Formulated statistical mechanics, defined entropy ($S=k \log W$), and proposed the Boltzmann Brain fluctuation hypothesis",1844,1906,"Vienna, Austrian Empire",Austrian,Theoretical Physics,Austrian physicist who established statistical mechanics and formulated the equation $S=k \log W$ linking entropy to probability.,,
Lynn Faust,25,Documented firefly diversity and decline | Citizen science / Field observation,unknown,living,"East Tennessee, USA",American,Entomology / Citizen Science,American naturalist who scientifically confirmed the existence of synchronous fireflies (\emph{Photinus carolinus}) in the Great Smoky Mountains.,,
M. C. Escher,29,Quote on crystals/regularity,1898,1972,"Leeuwarden, Netherlands",Dutch,Graphic Arts,"Dutch graphic artist who visualized mathematical concepts including infinity, symmetry, and impossible objects through woodcuts and lithographs.",,
M. den Nijs,11,Coauthor on TKNN quantum Hall topology | Topological nature of Quantum Hall Effect,unknown,living,Netherlands,Dutch / American,Theoretical Condensed Matter Physics,Dutch theoretical physicist who co-authored the 1982 TKNN paper establishing the topological nature of the Quantum Hall Effect.,,
M. G. Pavlides,30,Quantified frequency of Simpson reversals in contingency tables,unknown,living,unknown,unknown,Statistics,Statistician who utilized geometric probability to quantify the likelihood of Simpson's Paradox in $2 \times 2 \times 2$ contingency tables.,,
M. H. Löb,17,Coauthored work on fast-growing hierarchies,1921,2006,"Berlin, Germany",German-British,Mathematical Logic and Proof Theory,"German-born British mathematician who formulated L\""ob's Theorem, a formal result in provability logic related to G\""odel's incompleteness theorems.",,
M. Takata,13,Coauthor of ultrasound Babinet–Fresnel experiment,unknown,unknown,Japan,Japanese,Physics (Acoustics),"Japanese physicist who experimentally verified the Babinet-Fresnel principle using ultrasonic waves, demonstrating that optical diffraction laws apply to acoustics.",,
